Var1,Var2
train_059334.jpg,0
train_059349.jpg,0
train_059356.jpg,0
train_059357.jpg,0
train_059364.jpg,0
train_059365.jpg,0
train_059368.jpg,0
train_059373.jpg,0
train_059380.jpg,0
train_059382.jpg,0
train_059390.jpg,0
train_059398.jpg,0
train_059404.jpg,0
train_059407.jpg,0
train_059411.jpg,0
train_059417.jpg,0
train_059419.jpg,0
train_059422.jpg,0
train_059429.jpg,0
train_059430.jpg,0
train_059433.jpg,0
train_059434.jpg,0
train_059436.jpg,0
train_059444.jpg,0
train_059484.jpg,0
train_059486.jpg,0
train_059487.jpg,0
train_059501.jpg,0
train_059518.jpg,0
train_059520.jpg,0
train_059526.jpg,0
train_059536.jpg,0
train_059566.jpg,0
train_059567.jpg,0
train_059583.jpg,0
train_059587.jpg,0
train_059591.jpg,0
train_059601.jpg,0
train_059612.jpg,0
train_059614.jpg,0
train_059636.jpg,0
train_059642.jpg,0
train_059658.jpg,0
train_059661.jpg,0
train_059663.jpg,0
train_059685.jpg,0
train_059687.jpg,0
train_059699.jpg,0
train_059716.jpg,0
train_059721.jpg,0
train_059728.jpg,0
train_059730.jpg,0
train_059735.jpg,0
train_059740.jpg,0
train_059747.jpg,0
train_059758.jpg,0
train_059763.jpg,0
train_059780.jpg,0
train_059803.jpg,0
train_059807.jpg,0
train_059816.jpg,0
train_059844.jpg,0
train_059845.jpg,0
train_059847.jpg,0
train_059859.jpg,0
train_059860.jpg,0
train_059870.jpg,0
train_059878.jpg,0
train_059889.jpg,0
train_059890.jpg,0
train_059896.jpg,0
train_059903.jpg,0
train_059906.jpg,0
train_059909.jpg,0
train_059930.jpg,0
train_059940.jpg,0
train_059955.jpg,0
train_031249.jpg,0
train_089349.jpg,1
train_089351.jpg,1
train_089357.jpg,1
train_089360.jpg,1
train_089367.jpg,1
train_089370.jpg,1
train_089376.jpg,1
train_089380.jpg,1
train_089397.jpg,1
train_089421.jpg,1
train_089424.jpg,1
train_089426.jpg,1
train_089428.jpg,1
train_089429.jpg,1
train_089433.jpg,1
train_089439.jpg,1
train_089449.jpg,1
train_089450.jpg,1
train_089452.jpg,1
train_089453.jpg,1
train_089471.jpg,1
train_089473.jpg,1
train_089478.jpg,1
train_089483.jpg,1
train_089486.jpg,1
train_089489.jpg,1
train_089492.jpg,1
train_089500.jpg,1
train_089507.jpg,1
train_089509.jpg,1
train_089522.jpg,1
train_089527.jpg,1
train_089529.jpg,1
train_089531.jpg,1
train_089533.jpg,1
train_089542.jpg,1
train_089543.jpg,1
train_089545.jpg,1
train_089558.jpg,1
train_089559.jpg,1
train_089560.jpg,1
train_089563.jpg,1
train_089574.jpg,1
train_089582.jpg,1
train_089588.jpg,1
train_089596.jpg,1
train_089598.jpg,1
train_089600.jpg,1
train_089614.jpg,1
train_089616.jpg,1
train_089620.jpg,1
train_089632.jpg,1
train_089644.jpg,1
train_089662.jpg,1
train_089666.jpg,1
train_089678.jpg,1
train_089685.jpg,1
train_089696.jpg,1
train_089703.jpg,1
train_089710.jpg,1
train_089719.jpg,1
train_089741.jpg,1
train_089752.jpg,1
train_089753.jpg,1
train_089757.jpg,1
train_089758.jpg,1
train_089759.jpg,1
train_089768.jpg,1
train_089771.jpg,1
train_089790.jpg,1
train_089803.jpg,1
train_089811.jpg,1
train_089829.jpg,1
train_089838.jpg,1
train_089848.jpg,1
train_089852.jpg,1
train_089857.jpg,1
train_089860.jpg,1
train_062489.jpg,1
train_089949.jpg,1
train_062620.jpg,2
train_067036.jpg,3
train_067041.jpg,3
train_067057.jpg,3
train_067100.jpg,3
train_067145.jpg,3
train_067154.jpg,3
train_067173.jpg,3
train_067197.jpg,3
train_067201.jpg,3
train_067218.jpg,3
train_067235.jpg,3
train_067252.jpg,3
train_067256.jpg,3
train_067257.jpg,3
train_067261.jpg,3
train_067278.jpg,3
train_067340.jpg,3
train_067363.jpg,3
train_067370.jpg,3
train_067376.jpg,3
train_067401.jpg,3
train_067422.jpg,3
train_067453.jpg,3
train_067470.jpg,3
train_067480.jpg,3
train_067483.jpg,3
train_067492.jpg,3
train_067540.jpg,3
train_067561.jpg,3
train_067574.jpg,3
train_039484.jpg,3
train_074281.jpg,5
train_074342.jpg,5
train_074360.jpg,5
train_074376.jpg,5
train_074541.jpg,5
train_074550.jpg,5
train_012546.jpg,5
train_085401.jpg,8
train_085419.jpg,8
train_085477.jpg,8
train_085481.jpg,8
train_085514.jpg,8
train_085564.jpg,8
train_048394.jpg,8
train_050296.jpg,8
train_050577.jpg,8
train_050645.jpg,8
train_053159.jpg,8
train_008722.jpg,9
train_008723.jpg,9
train_008763.jpg,9
train_008786.jpg,9
train_008788.jpg,9
train_008817.jpg,9
train_008820.jpg,9
train_008831.jpg,9
train_008900.jpg,9
train_008914.jpg,9
train_008965.jpg,9
train_008971.jpg,9
train_009043.jpg,9
train_009091.jpg,9
train_009096.jpg,9
train_009103.jpg,9
train_009119.jpg,9
train_009122.jpg,9
train_009134.jpg,9
train_050096.jpg,9
train_006930.jpg,10
train_075652.jpg,11
train_075703.jpg,11
train_075887.jpg,11
train_075900.jpg,11
train_075949.jpg,11
train_075983.jpg,11
train_076020.jpg,11
train_076043.jpg,11
train_076063.jpg,11
train_076175.jpg,11
train_057418.jpg,11
train_026390.jpg,13
train_026426.jpg,13
train_026429.jpg,13
train_026482.jpg,13
train_026571.jpg,13
train_026607.jpg,13
train_026754.jpg,13
train_069523.jpg,15
train_069534.jpg,15
train_069536.jpg,15
train_069569.jpg,15
train_069570.jpg,15
train_069574.jpg,15
train_069584.jpg,15
train_069588.jpg,15
train_069591.jpg,15
train_069601.jpg,15
train_069602.jpg,15
train_069608.jpg,15
train_069624.jpg,15
train_069639.jpg,15
train_069647.jpg,15
train_069649.jpg,15
train_069655.jpg,15
train_069656.jpg,15
train_069657.jpg,15
train_069667.jpg,15
train_069670.jpg,15
train_069676.jpg,15
train_069677.jpg,15
train_069678.jpg,15
train_069681.jpg,15
train_069684.jpg,15
train_069686.jpg,15
train_069688.jpg,15
train_069696.jpg,15
train_069697.jpg,15
train_069699.jpg,15
train_069700.jpg,15
train_069718.jpg,15
train_069723.jpg,15
train_069734.jpg,15
train_069739.jpg,15
train_069750.jpg,15
train_069758.jpg,15
train_069771.jpg,15
train_069788.jpg,15
train_069789.jpg,15
train_069792.jpg,15
train_069793.jpg,15
train_069798.jpg,15
train_069803.jpg,15
train_069805.jpg,15
train_069807.jpg,15
train_069809.jpg,15
train_069816.jpg,15
train_069846.jpg,15
train_017733.jpg,15
train_081003.jpg,15
train_045496.jpg,15
train_074855.jpg,15
train_104845.jpg,15
train_018036.jpg,16
train_089995.jpg,19
train_090219.jpg,19
train_097930.jpg,21
train_097955.jpg,21
train_097964.jpg,21
train_097968.jpg,21
train_097989.jpg,21
train_097996.jpg,21
train_098001.jpg,21
train_098010.jpg,21
train_098020.jpg,21
train_098032.jpg,21
train_098033.jpg,21
train_098048.jpg,21
train_098049.jpg,21
train_098052.jpg,21
train_098054.jpg,21
train_098108.jpg,21
train_098125.jpg,21
train_098149.jpg,21
train_098156.jpg,21
train_098161.jpg,21
train_098185.jpg,21
train_098192.jpg,21
train_098209.jpg,21
train_098240.jpg,21
train_098257.jpg,21
train_098259.jpg,21
train_098273.jpg,21
train_098298.jpg,21
train_098309.jpg,21
train_098322.jpg,21
train_098329.jpg,21
train_098332.jpg,21
train_098368.jpg,21
train_047631.jpg,21
train_095448.jpg,21
train_095615.jpg,21
train_095760.jpg,21
train_041462.jpg,21
train_041547.jpg,21
train_009932.jpg,21
train_010031.jpg,21
train_108676.jpg,21
